case,kernel,trace_calls_per_encode,s103_gpu_ms_per_encode,s103_kernel_percent,profiled_ns,gpc_mhz,dram_mhz,dram_read_bytes,dram_write_bytes,dram_GB_s,dram_percent,lsu_percent_active,l2_percent_elapsed,fma_percent_active,occupancy_percent,eligible_warps,issue_active_percent,registers_per_thread,static_shared_bytes,long_scoreboard_cycles_per_issue,mio_throttle_cycles_per_issue,anomalies
4k,"void unnamed>::PairedMaltaScaleResponseKernel<64, 1, 0>(const float *, const float *, float *, CudaButteraugliMaltaParams)",16.0,14.350326333333333,8.58877717618824,830080.0,1049.71167438,5494.73143151,99597184.0,33183360.0,159.96114109483423,60.65,82.37,37.06,33.57,102.9,1.78,62.58,40.0,11520.0,9.5,2.0,sm__warps_active.avg.pct_of_peak_sustained_active=102.9
4k,"void unnamed>::ConvolutionLowMediumRowsKernel<48>(const float *, const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, float *, float *, float *, float *, unnamed>::LowMediumParams)",6.0,10.405513333333333,6.2277772189934915,2009440.0,1282.1188988,5495.384452050001,264266752.0,199373440.0,230.7310454654033,87.47,38.33,29.94,10.94,46.85,0.39,24.32,54.0,30856.0,17.15,1.52,
4k,"unnamed>::ErosionL2FinalKernel(unnamed>::DifferencePlan, unnamed>::FinalPlan)",4.0,9.850518333333333,5.895608578491825,2752192.0,1259.8517835999999,5495.430551359999,663673472.0,34346624.0,253.62332860498105,96.15,14.7,42.43,12.25,92.4,0.47,29.17,40.0,0.0,32.55,0.03,
4k,"void unnamed>::FusedMirroredOpsinKernel<32, 16>(unnamed>::OpsinConvolutionPlan)",6.0,9.362943333333334,5.6037913100613,1163520.0,1282.3151586,5495.26952695,99518720.0,98278528.0,169.9990099009901,64.45,77.21,26.84,30.67,81.15,2.8,71.96,37.0,16320.0,1.85,2.11,
4k,"void unnamed>::PairedMaltaScaleResponseKernel<64, 0, 0>(const float *, const float *, float *, CudaButteraugliMaltaParams)",8.0,9.195958166666665,5.503849444286633,639808.0,1275.2393426400001,5495.24857457,66401024.0,33226880.0,155.71531459437833,59.03,86.1,25.01,37.95,80.29,2.54,74.28,48.0,11520.0,3.03,2.35,
4k,"void unnamed>::ConvolutionTiledKernel<1, 15>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",18.0,7.703812333333334,4.610789051150554,352032.0,1275.5885828599999,5494.773202439999,33162240.0,33145216.0,188.35633124261432,71.41,79.17,23.07,19.59,94.19,1.6,53.97,39.0,4384.0,6.34,4.19,
4k,"void unnamed>::ConvolutionHorizontalPairsKernel<256, 4>(const float *, const float *, const float *, const float *, float *, float *, float *, unsigned int, unsigned int, unsigned int)",6.0,5.919967499999999,3.5431446342562487,823712.0,1281.15733007,5495.150408560001,99489280.0,99502464.0,241.57927042461444,91.59,67.43,42.94,25.5,77.53,1.46,51.33,48.0,13960.0,6.98,3.07,
4k,"void unnamed>::EpfTiledKernel<1>(const float *, const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaAqEpfParams, unsigned int)",2.0,5.131979333333333,3.0715278484238233,977472.0,1276.1095288,5495.18758594,100041856.0,99301376.0,203.93753682969947,77.32,70.67,30.06,33.69,98.63,3.6,74.53,40.0,15552.0,3.53,2.18,
4k,"unnamed>::GaborishKernel(const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaAqGaborishParams)",2.0,5.083241833333333,3.0423580917297093,905376.0,1282.1277200499999,5495.069451810001,99500800.0,99556224.0,219.86116707312763,83.36,46.31,49.44,26.02,91.28,2.45,75.95,40.0,0.0,5.54,0.09,
4k,"void unnamed>::EncodeResidentCoefficientsShapeKernel<32, 32, 256, 0>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",2.0,4.194114666666667,2.510208861223551,1313920.0,1278.20288399,5495.43757103,101169664.0,202844672.0,231.3796395518753,87.72,28.35,26.34,12.72,79.01,0.62,37.18,48.0,256.0,15.33,0.07,
4k,"void unnamed>::ConvolutionTiledKernel<1, 7>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",12.0,3.908992666666667,2.339561220943701,309408.0,1267.78019099,5493.84631296,33160832.0,33160576.0,214.34936394663356,81.28,59.41,26.03,18.93,94.46,1.63,53.6,31.0,4224.0,9.21,1.63,
4k,"void unnamed>::EpfTiledKernel<2>(const float *, const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaAqEpfParams, unsigned int)",2.0,3.258298,1.9501156172745655,841024.0,1276.29453301,5494.86340461,100035200.0,99378944.0,237.10874362681685,89.9,42.4,33.36,21.98,98.5,1.89,57.84,38.0,13872.0,8.97,1.84,
4k,"void unnamed>::ConvolutionFrequencyKernel<1>(const float *, const float *, float *, float *, CudaButteraugliFrequencyParams)",6.0,3.232409,1.934620857981333,652064.0,1278.41438877,5495.6077931,66738176.0,66460544.0,204.27246405260834,77.44,44.91,42.3,9.69,92.22,0.44,30.46,39.0,10048.0,27.83,0.63,
4k,"void unnamed>::ConvolutionFrequencyKernel<0>(const float *, const float *, float *, float *, CudaButteraugliFrequencyParams)",6.0,3.223528833333333,1.9293060121014693,649152.0,1278.66303526,5495.28410398,66793088.0,66471552.0,205.29034802326728,77.83,45.13,41.2,10.0,92.71,0.44,30.56,39.0,10048.0,27.87,0.61,
4k,"void unnamed>::ConvolutionTiledKernel<1, 13>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",7.0,3.1009023333333334,1.8559131386621097,337856.0,1273.94609932,5494.47496369,33161856.0,32808960.0,195.26311801477553,74.04,75.48,24.0,19.81,94.05,1.61,54.13,39.0,4344.0,6.89,3.55,
4k,"unnamed>::MaskPrecomputeKernel(const float *, const float *, const float *, const float *, float *, unnamed>::PlaneParams)",7.0,3.0925766666666665,1.8509301651615615,653600.0,1279.68023256,5494.70420237,132646784.0,33440896.0,254.11211750305998,96.35,12.42,27.07,8.02,85.95,0.32,22.77,18.0,0.0,38.98,0.02,
4k,"void unnamed>::ConvolutionFrequencyKernel<4>(const float *, const float *, float *, float *, CudaButteraugliFrequencyParams)",6.0,3.015481,1.8047878345365356,642848.0,1278.5344799000002,5495.279340270001,66509184.0,66460288.0,206.84434267509582,78.42,29.22,41.66,11.23,91.81,0.45,32.33,31.0,8992.0,25.54,0.21,
4k,"void unnamed>::InverseDctFactoredKernel<32, 32, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<32, 32>>(T3, T4, unsigned long long)",1.0,2.9848939999999993,1.7864812872576867,2267904.0,1277.51968337,5495.4283779200005,257191552.0,2153472.0,114.35449825036686,43.35,39.99,38.36,21.78,41.15,1.59,65.4,89.0,8448.0,1.93,0.05,
4k,"void unnamed>::ConvolutionFrequencyKernel<3>(const float *, const float *, float *, float *, CudaButteraugliFrequencyParams)",6.0,2.911446666666667,1.7425225113014966,641856.0,1278.35371174,5495.2637351700005,66500224.0,66454400.0,207.1408914148968,78.53,29.29,42.47,8.35,92.05,0.37,27.21,31.0,8992.0,31.98,0.26,
4k,"void unnamed>::InverseDctFactoredKernel<16, 16, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<16, 16>>(T3, T4, unsigned long long)",1.0,2.8631946666666668,1.7136433299728604,2056256.0,1274.83769855,5495.3468828800005,340498304.0,4935552.0,167.9916586261633,63.69,64.69,34.58,24.48,65.65,2.08,72.71,43.0,4352.0,3.41,0.15,
4k,"void unnamed>::ConvolutionTiledKernel<0, 13>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",7.0,2.8046641666666665,1.6786123898510883,302560.0,1281.6036488599998,5494.65891063,33163520.0,33172992.0,219.25076679005818,83.13,79.21,30.97,18.2,96.52,1.51,56.43,39.0,9784.0,8.54,2.97,
4k,"void unnamed>::SelectAdjustedQuantizationCooperativeKernel<32, 32, 1>(const CudaAqAnchor *, const float *, int *, const float *, float *, const unsigned int *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",3.0,2.7597203333333336,1.6517131709080948,644352.0,1280.2831371700001,5495.431068729999,99132288.0,894592.0,155.23639253079062,58.85,19.2,17.3,8.62,97.08,0.33,25.91,40.0,12.0,36.68,0.01,
