case,kind,effort,distance,mode,srgb_rmse,block_error_roughness,red_green_error_roughness
alpine_lake-visual-e3-d1.2,photographic,3,1.2,both,0.015291271731257439,0.005357587710022926,0.00851905532181263
alpine_lake-visual-e3-d1.2,photographic,3,1.2,default,0.015369291417300701,0.006332672666758299,0.010223712772130966
alpine_lake-visual-e3-d1.2,photographic,3,1.2,quantize,0.015238598920404911,0.005327288061380386,0.008519966155290604
alpine_lake-visual-e3-d1.2,photographic,3,1.2,smooth,0.015348725952208042,0.005960314068943262,0.009501324035227299
alpine_lake-visual-e3-d3,photographic,3,3.0,both,0.02207999676465988,0.008114642463624477,0.012498125433921814
alpine_lake-visual-e3-d3,photographic,3,3.0,default,0.022463886067271233,0.011411301791667938,0.01817742921411991
alpine_lake-visual-e3-d3,photographic,3,3.0,quantize,0.022052302956581116,0.008335738442838192,0.013049410656094551
alpine_lake-visual-e3-d3,photographic,3,3.0,smooth,0.02227749489247799,0.009775902144610882,0.015125983394682407
alpine_lake-visual-e3-d6,photographic,3,6.0,both,0.028714725747704506,0.011231895536184311,0.01663815975189209
alpine_lake-visual-e3-d6,photographic,3,6.0,default,0.029684050008654594,0.017152175307273865,0.026703033596277237
alpine_lake-visual-e3-d6,photographic,3,6.0,quantize,0.028750957921147346,0.01207765843719244,0.018542198464274406
alpine_lake-visual-e3-d6,photographic,3,6.0,smooth,0.02925143390893936,0.014475167728960514,0.02176765538752079
alpine_lake-visual-e4-d1.2,photographic,4,1.2,both,0.015441451221704483,0.005402483511716127,0.008605493232607841
alpine_lake-visual-e4-d1.2,photographic,4,1.2,default,0.015526258386671543,0.00637423200532794,0.0102976830676198
alpine_lake-visual-e4-d1.2,photographic,4,1.2,quantize,0.01538835372775793,0.005323169752955437,0.008531277067959309
alpine_lake-visual-e4-d1.2,photographic,4,1.2,smooth,0.015499860979616642,0.006011784076690674,0.00960647314786911
alpine_lake-visual-e4-d3,photographic,4,3.0,both,0.022687915712594986,0.008350815623998642,0.012877339497208595
alpine_lake-visual-e4-d3,photographic,4,3.0,both-matched-size,0.023206090554594994,0.008574814535677433,0.013129147700965405
