case,image,kind,effort,default_distance,both_distance,default_bytes,both_bytes,size_error_pct,quality_delta,complete,reason,probes
alpine_lake-visual-e4-d3,alpine_lake-visual,photographic,4,3.0,3.15637731552,176242,175714,0.29958806640868474,-1.418041733503884,True,within-tolerance,3
alpine_lake-visual-e4-d6,alpine_lake-visual,photographic,4,6.0,6.56682920456,85473,85011,0.5405215682145248,-3.5646121217154416,True,within-tolerance,3
alpine_lake-visual-e7-d3,alpine_lake-visual,photographic,7,3.0,3.18500423431,159302,158101,0.7539139496051561,-1.0077331893151609,True,within-tolerance,3
alpine_lake-visual-e7-d6,alpine_lake-visual,photographic,7,6.0,6.65553379059,79141,78791,0.442248644823795,-3.1167242989331854,True,within-tolerance,3
campus_interior-visual-e4-d3,campus_interior-visual,photographic,4,3.0,3.05822491646,213372,213372,0.0,1.1858978103331879,True,within-tolerance,4
campus_interior-visual-e4-d6,campus_interior-visual,photographic,4,6.0,6.39001655579,103813,103455,0.3448508375636927,-0.9546170170692037,True,within-tolerance,3
campus_interior-visual-e7-d3,campus_interior-visual,photographic,7,3.0,3.0753800869,187977,188107,0.06915739691557565,1.663991337764486,True,within-tolerance,4
campus_interior-visual-e7-d6,campus_interior-visual,photographic,7,6.0,6.44818639755,93555,93395,0.1710223932446131,-0.10137589817045267,True,within-tolerance,3
forest_stream-visual-e4-d3,forest_stream-visual,photographic,4,3.0,3.07146787643,496633,497116,0.09725491459489088,-0.6827659748128951,True,within-tolerance,4
forest_stream-visual-e4-d6,forest_stream-visual,photographic,4,6.0,6.26001787186,239941,238960,0.4088505090834804,-2.001261810767126,True,within-tolerance,3
forest_stream-visual-e7-d3,forest_stream-visual,photographic,7,3.0,3.06062150002,448356,448301,0.01226703780031757,-0.604799458411982,True,within-tolerance,4
forest_stream-visual-e7-d6,forest_stream-visual,photographic,7,6.0,6.32406520844,211802,210715,0.5132151726612633,-1.9948844811597226,True,within-tolerance,3
gray-gradient-e4-d3,gray-gradient,synthetic-gradient,4,3.0,0.581420063972,5929,4633,21.858660819699782,5.824664860560432,False,probe-budget-exhausted,10
gray-gradient-e4-d6,gray-gradient,synthetic-gradient,4,6.0,10.3679990768,4345,5317,22.3705408515535,6.6949268479579445,False,distance-bound,4
gray-gradient-e7-d3,gray-gradient,synthetic-gradient,7,3.0,8.95795059204,974,950,2.4640657084188944,1.9786584277928512,False,probe-budget-exhausted,10
gray-gradient-e7-d6,gray-gradient,synthetic-gradient,7,6.0,6.30617570877,1023,1015,0.782013685239491,10.22708709393693,True,within-tolerance,8
dark-gradient-e4-d3,dark-gradient,synthetic-gradient,4,3.0,3,5819,5654,2.835538752362954,5.686260556503356,False,probe-budget-exhausted,10
dark-gradient-e4-d6,dark-gradient,synthetic-gradient,4,6.0,10.3679990768,4337,5317,22.596264699100765,6.060099464964779,False,distance-bound,4
dark-gradient-e7-d3,dark-gradient,synthetic-gradient,7,3.0,4.8679599762,1262,1243,1.5055467511885912,4.635564521757459,False,probe-budget-exhausted,10
dark-gradient-e7-d6,dark-gradient,synthetic-gradient,7,6.0,10.3679990768,940,1026,9.148936170212774,6.822611934970524,False,distance-bound,4
sky-gradient-e4-d3,sky-gradient,synthetic-gradient,4,3.0,3.59999990463,5074,5086,0.23649980291682304,10.052730934103849,True,within-tolerance,2
sky-gradient-e4-d6,sky-gradient,synthetic-gradient,4,6.0,10.3679990768,3636,3703,1.8426842684268419,15.625249890266275,False,distance-bound,4
sky-gradient-e7-d3,sky-gradient,synthetic-gradient,7,3.0,4.44023275375,2926,2918,0.2734107997265922,9.291041518227004,True,within-tolerance,6
sky-gradient-e7-d6,sky-gradient,synthetic-gradient,7,6.0,10.3679990768,1802,1818,0.8879023307436285,14.033974275371833,True,within-tolerance,4
chroma-gradient-e4-d3,chroma-gradient,synthetic-gradient,4,3.0,3.59999990463,2611,2587,0.9191880505553418,3.3176235367765514,True,within-tolerance,2
chroma-gradient-e4-d6,chroma-gradient,synthetic-gradient,4,6.0,6,2582,2548,1.3168086754453912,5.442541284161635,False,probe-budget-exhausted,10
chroma-gradient-e7-d3,chroma-gradient,synthetic-gradient,7,3.0,6.13565587997,963,933,3.1152647975077885,2.1470926478477708,False,probe-budget-exhausted,10
chroma-gradient-e7-d6,chroma-gradient,synthetic-gradient,7,6.0,9.80296802521,729,751,3.0178326474622708,4.312456699641601,False,probe-budget-exhausted,10
