image,kind,distance,e3_default_bytes,e4_default_bytes,e4_both_bytes,e3_default_quality,e4_default_quality,e4_both_quality,existing_transition_quality_delta,incremental_dc_quality_delta,proposed_transition_quality_delta
alpine_lake-visual,photographic,1.2,419935,410427,419610,80.35807795839395,79.90791025126808,80.08952719391564,-0.4501677071258712,0.18161694264756534,-0.26855076447830584
alpine_lake-visual,photographic,3.0,188283,176242,184856,58.356672810266524,55.85786738935893,56.268758760808325,-2.498805420907594,0.41089137144939514,-2.087914049458199
alpine_lake-visual,photographic,6.0,93876,85473,92859,30.650452610553536,25.455430223200494,26.34398097500962,-5.195022387353042,0.8885507518091273,-4.3064716355439145
campus_interior-visual,photographic,1.2,470325,451319,460173,85.8669419636665,85.11866750877516,85.54062366530034,-0.7482744548913445,0.4219561565251837,-0.3263182983661608
campus_interior-visual,photographic,3.0,231916,213372,217259,68.56927053734871,66.36348465973082,68.13542240521734,-2.205785877617899,1.7719377454865253,-0.43384813213137363
campus_interior-visual,photographic,6.0,115653,103813,110325,45.94637392728241,41.85888238717464,43.479945516052965,-4.08749154010777,1.6210631288783262,-2.466428411229444
forest_stream-visual,photographic,1.2,1081642,1063192,1076166,80.55812089700186,80.17311328766571,80.23254365600563,-0.3850076093361423,0.05943036833991755,-0.32557724099622476
forest_stream-visual,photographic,3.0,526920,496633,507626,59.58297669931397,57.63534583492982,57.79321322073447,-1.947630864384145,0.15786738580464998,-1.789763478579495
forest_stream-visual,photographic,6.0,264414,239941,250643,29.80582588576965,25.101927069405868,25.58508230158587,-4.7038988163637825,0.4831552321800032,-4.220743584183779
gray-gradient,synthetic-gradient,1.2,1652,5855,4140,95.31420587450926,95.31844934241717,97.05814807530962,0.004243467907912191,1.7396987328924496,1.7439422008003618
gray-gradient,synthetic-gradient,3.0,914,5929,3531,90.98655259044664,91.20692506038992,96.56523760707324,0.2203724699432854,5.358312546683322,5.578685016626608
gray-gradient,synthetic-gradient,6.0,614,4345,5318,84.6639729266625,84.82894228903935,94.46436948000094,0.16496936237685134,9.635427190961593,9.800396553338445
dark-gradient,synthetic-gradient,1.2,1387,6502,4746,96.09782173712685,96.03927884545847,98.93405318287043,-0.058542891668381,2.8947743374119597,2.8362314457435787
dark-gradient,synthetic-gradient,3.0,775,5819,5654,91.66601741520843,91.75989911449147,97.44615967099483,0.09388169928304535,5.686260556503356,5.7801422557864015
dark-gradient,synthetic-gradient,6.0,542,4337,5738,85.56368987137435,85.94634257029887,94.9647538566127,0.3826526989245167,9.018411286313835,9.401063985238352
sky-gradient,synthetic-gradient,1.2,4983,7425,8849,90.06148152054539,90.32851279216123,92.76311491929597,0.26703127161584916,2.4346021271347382,2.7016333987505874
sky-gradient,synthetic-gradient,3.0,2664,5074,5403,81.2657412723463,81.22731207407963,91.62726711809322,-0.03842919826666957,10.39995504401358,10.361525845746911
sky-gradient,synthetic-gradient,6.0,1631,3636,4363,69.85675568040266,68.9199230294739,88.48476212765954,-0.9368326509287499,19.56483909818563,18.62800644725688
chroma-gradient,synthetic-gradient,1.2,1026,3988,4517,92.09014794018239,91.84300215648257,93.86735269509441,-0.2471457836998212,2.0243505386118414,1.7772047549120202
chroma-gradient,synthetic-gradient,3.0,626,2611,2723,89.41828913072735,89.46455169306805,92.68974061112498,0.0462625623407007,3.2251889180569293,3.27145148039763
chroma-gradient,synthetic-gradient,6.0,488,2582,2548,87.4333941803289,85.85724011678877,91.29978140095041,-1.5761540635401303,5.442541284161635,3.8663872206215046
