case,image,kind,effort,distance,mode,bytes,quality
alpine_lake-visual-e3-d1.2,alpine_lake-visual,photographic,3,1.2,both,429206,80.48030070607084
alpine_lake-visual-e3-d1.2,alpine_lake-visual,photographic,3,1.2,default,419935,80.35807795839395
alpine_lake-visual-e3-d1.2,alpine_lake-visual,photographic,3,1.2,quantize,429207,80.57604191118648
alpine_lake-visual-e3-d1.2,alpine_lake-visual,photographic,3,1.2,smooth,419934,80.31860748350262
alpine_lake-visual-e3-d3,alpine_lake-visual,photographic,3,3.0,both,196849,58.76429814927331
alpine_lake-visual-e3-d3,alpine_lake-visual,photographic,3,3.0,default,188283,58.356672810266524
alpine_lake-visual-e3-d3,alpine_lake-visual,photographic,3,3.0,quantize,196850,59.07097455609559
alpine_lake-visual-e3-d3,alpine_lake-visual,photographic,3,3.0,smooth,188282,58.296863732529616
alpine_lake-visual-e3-d6,alpine_lake-visual,photographic,3,6.0,both,101361,31.6040076293816
alpine_lake-visual-e3-d6,alpine_lake-visual,photographic,3,6.0,default,93876,30.650452610553536
alpine_lake-visual-e3-d6,alpine_lake-visual,photographic,3,6.0,quantize,101362,32.510612544193755
alpine_lake-visual-e3-d6,alpine_lake-visual,photographic,3,6.0,smooth,93875,30.579557163928108
alpine_lake-visual-e4-d1.2,alpine_lake-visual,photographic,4,1.2,both,419610,80.08952719391564
alpine_lake-visual-e4-d1.2,alpine_lake-visual,photographic,4,1.2,default,410427,79.90791025126808
alpine_lake-visual-e4-d1.2,alpine_lake-visual,photographic,4,1.2,quantize,419863,80.079435530261
alpine_lake-visual-e4-d1.2,alpine_lake-visual,photographic,4,1.2,smooth,410374,79.88527450964921
alpine_lake-visual-e4-d3,alpine_lake-visual,photographic,4,3.0,both,184856,56.268758760808325
alpine_lake-visual-e4-d3,alpine_lake-visual,photographic,4,3.0,default,176242,55.85786738935893
alpine_lake-visual-e4-d3,alpine_lake-visual,photographic,4,3.0,quantize,184848,56.64548197909569
alpine_lake-visual-e4-d3,alpine_lake-visual,photographic,4,3.0,smooth,176334,55.80084188379552
alpine_lake-visual-e4-d6,alpine_lake-visual,photographic,4,6.0,both,92859,26.34398097500962
alpine_lake-visual-e4-d6,alpine_lake-visual,photographic,4,6.0,default,85473,25.455430223200494
alpine_lake-visual-e4-d6,alpine_lake-visual,photographic,4,6.0,quantize,92846,27.243107945940046
alpine_lake-visual-e4-d6,alpine_lake-visual,photographic,4,6.0,smooth,85532,25.378178253250752
alpine_lake-visual-e7-d1.2,alpine_lake-visual,photographic,7,1.2,both,417538,80.98912531637244
alpine_lake-visual-e7-d1.2,alpine_lake-visual,photographic,7,1.2,default,408367,80.89523419319484
alpine_lake-visual-e7-d1.2,alpine_lake-visual,photographic,7,1.2,quantize,418137,81.21906427207577
alpine_lake-visual-e7-d1.2,alpine_lake-visual,photographic,7,1.2,smooth,408304,80.86163736379454
alpine_lake-visual-e7-d3,alpine_lake-visual,photographic,7,3.0,both,168698,59.59173057722215
alpine_lake-visual-e7-d3,alpine_lake-visual,photographic,7,3.0,default,159302,58.870916259596406
alpine_lake-visual-e7-d3,alpine_lake-visual,photographic,7,3.0,quantize,168260,59.9971180357809
alpine_lake-visual-e7-d3,alpine_lake-visual,photographic,7,3.0,smooth,159973,59.02938070871529
alpine_lake-visual-e7-d6,alpine_lake-visual,photographic,7,6.0,both,86860,34.666197355257765
alpine_lake-visual-e7-d6,alpine_lake-visual,photographic,7,6.0,default,79141,33.106079922701014
alpine_lake-visual-e7-d6,alpine_lake-visual,photographic,7,6.0,quantize,86579,35.92820102662075
alpine_lake-visual-e7-d6,alpine_lake-visual,photographic,7,6.0,smooth,79382,33.197104273708106
campus_interior-visual-e3-d1.2,campus_interior-visual,photographic,3,1.2,both,479225,86.2224997648728
campus_interior-visual-e3-d1.2,campus_interior-visual,photographic,3,1.2,default,470325,85.8669419636665
campus_interior-visual-e3-d1.2,campus_interior-visual,photographic,3,1.2,quantize,479226,86.2692331697643
campus_interior-visual-e3-d1.2,campus_interior-visual,photographic,3,1.2,smooth,470324,85.83086270764915
campus_interior-visual-e3-d3,campus_interior-visual,photographic,3,3.0,both,236752,70.58284157257663
campus_interior-visual-e3-d3,campus_interior-visual,photographic,3,3.0,default,231916,68.56927053734871
campus_interior-visual-e3-d3,campus_interior-visual,photographic,3,3.0,quantize,236753,70.86933082051613
campus_interior-visual-e3-d3,campus_interior-visual,photographic,3,3.0,smooth,231915,68.54199220857107
campus_interior-visual-e3-d6,campus_interior-visual,photographic,3,6.0,both,122395,47.79331304883469
campus_interior-visual-e3-d6,campus_interior-visual,photographic,3,6.0,default,115653,45.94637392728241
campus_interior-visual-e3-d6,campus_interior-visual,photographic,3,6.0,quantize,122396,48.54944848468015
campus_interior-visual-e3-d6,campus_interior-visual,photographic,3,6.0,smooth,115652,45.559352872781496
campus_interior-visual-e4-d1.2,campus_interior-visual,photographic,4,1.2,both,460173,85.54062366530034
campus_interior-visual-e4-d1.2,campus_interior-visual,photographic,4,1.2,default,451319,85.11866750877516
campus_interior-visual-e4-d1.2,campus_interior-visual,photographic,4,1.2,quantize,460121,85.51402838263917
campus_interior-visual-e4-d1.2,campus_interior-visual,photographic,4,1.2,smooth,451331,85.07551063359334
