kind,artifact,reason
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/collect-launch-20260913T203354658978Z.log,"RuntimeError: Other measurement/build or sustained CPU work is active: [{'pid': 31738, 'cpu_percent': 129.6, 'command': '/Applications/Firefox-School.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203517405989Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 49401, 'cpu_percent': 93.1, 'command': '/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203532540769Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 49401, 'cpu_percent': 95.1, 'command': '/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203547695107Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 49401, 'cpu_percent': 88.1, 'command': '/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd'}, {'pid': 325, 'cpu_percent': 81.1, 'command': '/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203602848953Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 49401, 'cpu_percent': 87.8, 'command': '/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd'}, {'pid': 325, 'cpu_percent': 82.9, 'command': '/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203618002400Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 325, 'cpu_percent': 80.4, 'command': '/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203633138757Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 325, 'cpu_percent': 82.9, 'command': '/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203648272846Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 49401, 'cpu_percent': 91.8, 'command': '/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd'}, {'pid': 325, 'cpu_percent': 84.4, 'command': '/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203703418332Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 325, 'cpu_percent': 92.8, 'command': '/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd'}, {'pid': 49401, 'cpu_percent': 87.5, 'command': '/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd'}]"
quiet-guard launch rejection,/Users/yunhocho/GitHub/gjxl-dc-small-trees/build/dc-small-tree-qualification-v2/timing-launch-20260913T203718547926Z.log,"RuntimeError: Not quiet enough for timing: [{'pid': 325, 'cpu_percent': 90.9, 'command': '/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd'}, {'pid': 49401, 'cpu_percent': 86.2, 'command': '/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd'}]"
