case,image,stratum,effort,distance,prediction,backend,flags,dc_samples,dc_leaves,contexts,legacy_bytes,adaptive_bytes,delta_bytes,delta_percent,decoded_equal,byte_identical
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-cpu-gradient-f0,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,cpu,0,5184,4,15,9528,9601,73,0.7661628883291351,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-cpu-gradient-f1,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,cpu,1,5184,4,15,9873,9908,35,0.35450217765623415,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-cpu-gradient-f2,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,cpu,2,5184,4,15,9515,9599,84,0.882816605359958,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-cpu-gradient-f3,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,cpu,3,5184,4,15,9899,9941,42,0.42428528134154964,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-cpu-weighted-f0,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,cpu,0,5184,4,15,9348,9381,33,0.35301668806161746,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-cpu-weighted-f1,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,cpu,1,5184,4,15,9718,9747,29,0.29841531179254993,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-cpu-weighted-f2,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,cpu,2,5184,4,15,9342,9374,32,0.3425390708627703,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-cpu-weighted-f3,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,cpu,3,5184,4,15,9692,9711,19,0.19603796945934793,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-metal-gradient-f0,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,metal,0,5184,4,15,9518,9603,85,0.8930447573019542,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-metal-gradient-f1,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,metal,1,5184,4,15,9869,9903,34,0.34451312189684874,True,False
