case,image,stratum,effort,distance,prediction,backend,flags,dc_samples,dc_leaves,contexts,legacy_bytes,adaptive_bytes,delta_bytes,delta_percent,decoded_equal,byte_identical
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e3-d0.6-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,3,0.6,gradient,metal,0,2304,2,13,7710,7727,17,0.2204928664072633,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e3-d0.6-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,3,0.6,weighted,metal,0,2304,2,13,7650,7714,64,0.8366013071895425,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e3-d1-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,3,1.0,gradient,metal,0,2304,2,13,5763,5766,3,0.052056220718375845,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e3-d1-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,3,1.0,weighted,metal,0,2304,2,13,5698,5768,70,1.2285012285012284,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e3-d2-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,3,2.0,gradient,metal,0,2304,2,13,3749,3752,3,0.08002133902373966,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e3-d2-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,3,2.0,weighted,metal,0,2304,2,13,3703,3753,50,1.3502565487442615,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e4-d0.6-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,4,0.6,gradient,metal,0,2304,2,13,7424,7436,12,0.16163793103448276,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e4-d0.6-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,4,0.6,weighted,metal,0,2304,2,13,7362,7443,81,1.1002444987775062,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e4-d1-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,4,1.0,gradient,metal,0,2304,2,13,5327,5346,19,0.35667354984043553,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e4-d1-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,4,1.0,weighted,metal,0,2304,2,13,5272,5344,72,1.3657056145675266,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e4-d2-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,4,2.0,gradient,metal,0,2304,2,13,3329,3329,0,0.0,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e4-d2-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,4,2.0,weighted,metal,0,2304,2,13,3269,3334,65,1.9883756500458856,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e7-d0.6-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,7,0.6,gradient,metal,0,2304,2,13,7351,7368,17,0.23126105291797033,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e7-d0.6-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,7,0.6,weighted,metal,0,2304,2,13,7302,7351,49,0.6710490276636538,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e7-d1-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,7,1.0,gradient,metal,0,2304,2,13,5245,5253,8,0.15252621544327932,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e7-d1-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,7,1.0,weighted,metal,0,2304,2,13,5194,5255,61,1.1744320369657297,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e7-d2-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,7,2.0,gradient,metal,0,2304,2,13,3319,3334,15,0.4519433564326604,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256-e7-d2-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb256,thumbnail,7,2.0,weighted,metal,0,2304,2,13,3262,3322,60,1.8393623543838136,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e3-d0.6-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,3,0.6,gradient,metal,0,5184,4,15,14211,14274,63,0.44331855604813175,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e3-d0.6-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,3,0.6,weighted,metal,0,5184,4,15,14027,14046,19,0.13545305482284167,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e3-d1-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,3,1.0,gradient,metal,0,5184,4,15,10321,10386,65,0.6297839356651487,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e3-d1-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,3,1.0,weighted,metal,0,5184,4,15,10167,10187,20,0.1967148618078096,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e3-d2-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,3,2.0,gradient,metal,0,5184,4,15,6287,6355,68,1.081596946079211,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e3-d2-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,3,2.0,weighted,metal,0,5184,4,15,6130,6143,13,0.21207177814029363,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e4-d0.6-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,0.6,gradient,metal,0,5184,4,15,13800,13857,57,0.41304347826086957,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e4-d0.6-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,0.6,weighted,metal,0,5184,4,15,13612,13629,17,0.12488980311489861,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e4-d1-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,metal,0,5184,4,15,9518,9603,85,0.8930447573019542,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e4-d1-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,metal,0,5184,4,15,9354,9379,25,0.26726534103057514,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e4-d2-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,2.0,gradient,metal,0,5184,4,15,5599,5655,56,1.0001786033220217,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e4-d2-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,2.0,weighted,metal,0,5184,4,15,5428,5456,28,0.5158437730287398,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e7-d0.6-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,7,0.6,gradient,metal,0,5184,4,15,13552,13611,59,0.43536009445100354,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e7-d0.6-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,7,0.6,weighted,metal,0,5184,4,15,13354,13363,9,0.06739553691777744,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e7-d1-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,7,1.0,gradient,metal,0,5184,4,15,9288,9346,58,0.6244616709732989,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e7-d1-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,7,1.0,weighted,metal,0,5184,4,15,9113,9136,23,0.2523867003182267,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e7-d2-gradient,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,7,2.0,gradient,metal,0,5184,4,15,5424,5488,64,1.1799410029498525,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-e7-d2-weighted,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,7,2.0,weighted,metal,0,5184,4,15,5253,5289,36,0.6853226727584237,True,False
clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256-e3-d0.6-gradient,clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256,thumbnail,3,0.6,gradient,metal,0,2208,2,13,8901,8883,-18,-0.20222446916076844,True,False
clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256-e3-d0.6-weighted,clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256,thumbnail,3,0.6,weighted,metal,0,2208,2,13,8801,8875,74,0.8408135439154641,True,False
clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256-e3-d1-gradient,clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256,thumbnail,3,1.0,gradient,metal,0,2208,2,13,6760,6741,-19,-0.28106508875739644,True,False
clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256-e3-d1-weighted,clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256,thumbnail,3,1.0,weighted,metal,0,2208,2,13,6671,6731,60,0.899415380002998,True,False
clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256-e3-d2-gradient,clic2024_test--60430844748882ff66b9a5598ef06dd6-thumb256,thumbnail,3,2.0,gradient,metal,0,2208,2,13,4615,4585,-30,-0.6500541711809318,True,False
