resolution_class,effort,target,profiled_fraction,speedup_if_target_2x,latency_reduction_if_target_2x_percent,speedup_if_target_free,interpretation
12mp,1,all_gpu,0.1718643241252528,1.0940107052191392,8.593216206262639,1.2075316027699388,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,1,perceptual,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,1,comparison,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,1,ac_search,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,1,serializer,0.5263118383186242,1.3571392184613458,26.315591915931208,2.1110935017891483,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,1,entropy,0.06180323989503444,1.031886979261944,3.090161994751722,1.0658744972516425,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,1,orchestration,0.22740864699442684,1.1282916373301928,11.370432349721343,1.2943453173657076,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,2,all_gpu,0.16137643540082064,1.0877702421028204,8.068821770041032,1.1924301226593252,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,2,perceptual,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,2,comparison,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,2,ac_search,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,2,serializer,0.5205577803327496,1.3518608387760025,26.027889016637477,2.0857570714027536,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,2,entropy,0.0620042764263309,1.0319940212829752,3.100213821316545,1.0661029414826124,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,2,orchestration,0.24232768699247795,1.137868523728314,12.116384349623898,1.319831783255451,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,3,all_gpu,0.15314577725916656,1.0829225043175794,7.657288862958328,1.1808407789046762,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,3,perceptual,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,3,comparison,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,3,ac_search,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,3,serializer,0.5357631322669901,1.3658992230515818,26.788156613349507,2.1540727794482626,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,3,entropy,0.06131286628086632,1.031625972656684,3.065643314043316,1.0653176804905604,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,3,orchestration,0.2406540296815502,1.1367860749060008,12.03270148407751,1.3169227718172078,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,4,all_gpu,0.14628082127972925,1.0789120719896286,7.314041063986462,1.1713453614794094,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,4,perceptual,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,4,comparison,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,4,ac_search,0.0,1.0,0.0,1.0,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,4,serializer,0.5654090219850882,1.3941255944376998,28.270451099254412,2.301014173298572,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,4,entropy,0.11795016464973732,1.0626711165848517,5.8975082324868655,1.133722789713916,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,4,orchestration,0.21823595926136719,1.1224830865768831,10.91179796306836,1.279158349436451,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,5,all_gpu,0.6485846519150147,1.479929914096423,32.42923259575073,2.8456355291521382,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,5,perceptual,0.32449547939756085,1.1936703096932775,16.224773969878044,1.4803749930617254,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,5,comparison,0.20069778722826484,1.111542011010535,10.034889361413242,1.2510912443646394,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,5,ac_search,0.18363337936692803,1.1010992920046752,9.1816689683464,1.2249398428668297,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,5,serializer,0.23722171187373634,1.1345726308700397,11.861085593686816,1.3109969378604922,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,5,entropy,0.050861906904438696,1.0260945630710347,2.5430953452219347,1.053587467697725,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,5,orchestration,0.08685936523730141,1.0454014533270708,4.34296826186507,1.095121563897848,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,6,all_gpu,0.6459709104315059,1.4770731407531028,32.29854552157529,2.824626646411579,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,6,perceptual,0.3233603131095526,1.192862137069693,16.16801565547763,1.4778914381974566,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,6,comparison,0.19964547238318897,1.1108923099982235,9.982273619159448,1.249446295977942,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,6,ac_search,0.18281855914901388,1.100605561469635,9.140927957450694,1.2237184424534073,"Amdahl sensitivity, not an achieved or predicted gain"
12mp,6,serializer,0.24091610359535362,1.1369554369110857,12.045805179767681,1.317377439748673,"Amdahl sensitivity, not an achieved or predicted gain"
