resolution_class,effort,stage,mean_ms
12mp,1,aq.final_frame.dct8,4.265576333333333
12mp,1,aq.final_frame.final_cfl,2.6001735
12mp,1,aq.final_frame.quantizer,1.4976386666666663
12mp,1,aq.final_frame.reset,0.004687666666666666
12mp,1,aq.policy_bounds,0.12071516666666665
12mp,1,aq.reconstruction.forward.dct8,2.073382
12mp,1,frontend.initial_quantization,1.5768263333333332
12mp,1,frontend.quant_adjustment,0.0512915
12mp,2,aq.final_frame.dct8,3.867507
12mp,2,aq.final_frame.final_cfl,2.4812085
12mp,2,aq.final_frame.quantizer,1.4010904999999998
12mp,2,aq.final_frame.reset,0.0024026666666666667
12mp,2,aq.policy_bounds,0.014173666666666668
12mp,2,aq.reconstruction.forward.dct8,1.9931805000000002
12mp,2,frontend.initial_quantization,1.6762293333333333
12mp,2,frontend.quant_adjustment,0.11361116666666665
12mp,3,aq.final_frame.dct8,3.937923666666667
12mp,3,aq.final_frame.final_cfl,2.3946183333333333
12mp,3,aq.final_frame.quantizer,1.2936180000000002
12mp,3,aq.final_frame.reset,0.00234
12mp,3,aq.policy_bounds,0.013889
12mp,3,aq.reconstruction.forward.dct8,1.9303541666666668
12mp,3,frontend.initial_quantization,1.5535276666666666
12mp,3,frontend.quant_adjustment,0.028361333333333332
12mp,4,aq.final_frame.dc_quantization,1.677777833333333
12mp,4,aq.final_frame.dct8,3.0552500000000005
12mp,4,aq.final_frame.final_cfl,1.9164166666666667
12mp,4,aq.final_frame.quantizer,1.3725205
12mp,4,aq.final_frame.reset,0.0021668333333333335
12mp,4,aq.policy_bounds,0.012458499999999999
12mp,4,aq.reconstruction.forward.dct8,1.8550556666666667
12mp,4,frontend.initial_quantization,1.4645068333333333
12mp,4,frontend.quant_adjustment,0.026361166666666668
12mp,5,aq.epf.pass_1,1.8656806666666668
12mp,5,aq.epf_linear.pass_2,1.6552636666666665
12mp,5,aq.final_frame.dc_quantization,1.6592708333333333
12mp,5,aq.final_frame.dct16,0.2759371666666667
12mp,5,aq.final_frame.dct16x32,0.6208055
12mp,5,aq.final_frame.dct16x8,0.17300700000000002
12mp,5,aq.final_frame.dct32,1.5249235
12mp,5,aq.final_frame.dct32x16,0.460118
12mp,5,aq.final_frame.dct8,0.6951111666666666
12mp,5,aq.final_frame.dct8x16,0.2466598333333333
12mp,5,aq.final_frame.quantizer,0.45072933333333337
12mp,5,aq.gaborish,1.7499236666666667
12mp,5,aq.policy_bounds,0.011236166666666667
12mp,5,aq.policy_initialize,0.0219235
12mp,5,aq.policy_update,0.022180333333333333
12mp,5,aq.reconstruction.coefficients.dct16,0.2299375
12mp,5,aq.reconstruction.coefficients.dct16x32,0.4039516666666667
12mp,5,aq.reconstruction.coefficients.dct16x8,0.14896516666666668
12mp,5,aq.reconstruction.coefficients.dct32,1.2367293333333333
12mp,5,aq.reconstruction.coefficients.dct32x16,0.34454866666666667
12mp,5,aq.reconstruction.coefficients.dct8,0.5384028333333334
12mp,5,aq.reconstruction.coefficients.dct8x16,0.19577766666666666
12mp,5,aq.reconstruction.dc_llf,0.22882683333333334
12mp,5,aq.reconstruction.dc_quantization,1.6443196666666668
12mp,5,aq.reconstruction.dc_smoothing,0.027903
12mp,5,aq.reconstruction.dct16,0.08215283333333334
12mp,5,aq.reconstruction.dct16x32,0.15976416666666665
12mp,5,aq.reconstruction.dct16x8,0.08090966666666667
12mp,5,aq.reconstruction.dct32,0.6623128333333334
12mp,5,aq.reconstruction.dct32x16,0.10022216666666667
12mp,5,aq.reconstruction.dct8,0.380743
12mp,5,aq.reconstruction.dct8x16,0.10226400000000001
12mp,5,aq.reconstruction.final_cfl,1.6804168333333334
12mp,5,aq.reconstruction.forward.dct16,0.08365316666666667
12mp,5,aq.reconstruction.forward.dct16x32,0.1528955
12mp,5,aq.reconstruction.forward.dct16x8,0.07604166666666667
