window,counter_id,counter,covered_ms,mean
all ordinary GPU active,3,Kernel Occupancy,662.110066,64.46830620981292
gjxl_aq_resident_input_transform,3,Kernel Occupancy,6.374792,37.89875900589792
gjxl_aq_resident_input_statistics,3,Kernel Occupancy,1.925875,33.83845939300987
gjxl_butteraugli_low_medium_p1_device,3,Kernel Occupancy,15.729545,69.6574021097707
gjxl_butteraugli_convolve_transpose_f32,3,Kernel Occupancy,9.670374,68.68775003882143
gjxl_butteraugli_subsample2x_f32,3,Kernel Occupancy,2.510083,81.68804050230926
gjxl_butteraugli_frequency_high_convolve_f32,3,Kernel Occupancy,9.845999,91.4662675777396
gjxl_butteraugli_frequency_suppress_x_f32,3,Kernel Occupancy,4.082791,72.27598468693584
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,3,Kernel Occupancy,12.272249,68.57110889791666
gjxl_butteraugli_fuzzy_erosion_f32,3,Kernel Occupancy,1.030249,74.1036129562334
gjxl_convolve_symmetric5_f32,3,Kernel Occupancy,2.9835,98.7347969624561
gjxl_aq_initial_cfl,3,Kernel Occupancy,4.532375,37.525946030418474
gjxl_aq_initial_quant_gradient,3,Kernel Occupancy,1.95925,42.6487889299703
gjxl_aq_initial_quant_modulation,3,Kernel Occupancy,1.103041,27.093305687578145
gjxl_aq_validate_initial_mask,3,Kernel Occupancy,1.881417,11.466209101423761
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,3,Kernel Occupancy,3.520834,67.88403404680983
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,3,Kernel Occupancy,3.679291,34.207618567494606
gjxl_ac_strategy_dct32x16_candidate_loss_local,3,Kernel Occupancy,8.398917,49.4374279406821
gjxl_ac_strategy_dct32_candidate_loss_local,3,Kernel Occupancy,31.607784,24.82230693785799
gjxl_dct32_forward_simdgroup_2d_matmul_image,3,Kernel Occupancy,3.889417,74.86132199187553
gjxl_aq_final_cfl,3,Kernel Occupancy,2.502625,35.575856306219045
gjxl_aq_dc_quantize_simd_wave,3,Kernel Occupancy,2.990876,2.5000145624319097
gjxl_dct32_inverse_simdgroup_2d_matmul_image,3,Kernel Occupancy,7.533458,68.17088123495297
gjxl_aq_gaborish_f32,3,Kernel Occupancy,13.45346,98.90680728807457
gjxl_aq_epf_pass1_tile32x4_p2,3,Kernel Occupancy,4.482374,61.49023268745474
gjxl_aq_epf_pass2_linear_tile32x4_p2,3,Kernel Occupancy,11.198084,60.94492911657565
gjxl_butteraugli_malta_fixed_f32,3,Kernel Occupancy,2.549708,98.59991404918237
gjxl_butteraugli_final_l2_masked_ac_f32,3,Kernel Occupancy,9.075249,94.88675257233267
gjxl_butteraugli_resident_l2_reduce_w64_simd,3,Kernel Occupancy,4.076207,94.84465424953005
gjxl_ac_strategy_dct16_candidate_loss_parallel,3,Kernel Occupancy,7.254378,37.0275159290918
all ordinary GPU active,4,Total Occupancy,662.110066,64.54881552230302
gjxl_aq_resident_input_transform,4,Total Occupancy,6.374792,37.89875900588715
gjxl_aq_resident_input_statistics,4,Total Occupancy,1.925875,33.838459392974215
gjxl_butteraugli_low_medium_p1_device,4,Total Occupancy,15.729545,69.66738024241683
gjxl_butteraugli_convolve_transpose_f32,4,Total Occupancy,9.670374,68.68775003882143
gjxl_butteraugli_subsample2x_f32,4,Total Occupancy,2.510083,81.68804050230926
gjxl_butteraugli_frequency_high_convolve_f32,4,Total Occupancy,9.845999,91.4662675777396
gjxl_butteraugli_frequency_suppress_x_f32,4,Total Occupancy,4.082791,72.27598468693584
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,4,Total Occupancy,12.272249,68.57110889791666
gjxl_butteraugli_fuzzy_erosion_f32,4,Total Occupancy,1.030249,74.1036129562334
gjxl_convolve_symmetric5_f32,4,Total Occupancy,2.9835,98.7347969624561
gjxl_aq_initial_cfl,4,Total Occupancy,4.532375,37.526382629975274
gjxl_aq_initial_quant_gradient,4,Total Occupancy,1.95925,42.6487889299703
gjxl_aq_initial_quant_modulation,4,Total Occupancy,1.103041,27.093305687578145
gjxl_aq_validate_initial_mask,4,Total Occupancy,1.881417,11.466209101423761
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,4,Total Occupancy,3.520834,67.88403404680983
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,4,Total Occupancy,3.679291,34.20761896891127
gjxl_ac_strategy_dct32x16_candidate_loss_local,4,Total Occupancy,8.398917,49.49721787420412
gjxl_ac_strategy_dct32_candidate_loss_local,4,Total Occupancy,31.607784,24.86164923888796
gjxl_dct32_forward_simdgroup_2d_matmul_image,4,Total Occupancy,3.889417,74.86132199187553
gjxl_aq_final_cfl,4,Total Occupancy,2.502625,35.57586314888166
gjxl_aq_dc_quantize_simd_wave,4,Total Occupancy,2.990876,2.702706670903129
gjxl_dct32_inverse_simdgroup_2d_matmul_image,4,Total Occupancy,7.533458,68.17088123495297
gjxl_aq_gaborish_f32,4,Total Occupancy,13.45346,98.91364253336779
gjxl_aq_epf_pass1_tile32x4_p2,4,Total Occupancy,4.482374,61.49028033191105
gjxl_aq_epf_pass2_linear_tile32x4_p2,4,Total Occupancy,11.198084,60.94492911657565
gjxl_butteraugli_malta_fixed_f32,4,Total Occupancy,2.549708,98.59993976764493
gjxl_butteraugli_final_l2_masked_ac_f32,4,Total Occupancy,9.075249,94.88675257233267
gjxl_butteraugli_resident_l2_reduce_w64_simd,4,Total Occupancy,4.076207,94.84465424953005
gjxl_ac_strategy_dct16_candidate_loss_parallel,4,Total Occupancy,7.254378,37.06576004475564
all ordinary GPU active,5,Occupancy Manager Target,662.110066,89.82690748982267
gjxl_aq_resident_input_transform,5,Occupancy Manager Target,6.374792,38.080914532589134
gjxl_aq_resident_input_statistics,5,Occupancy Manager Target,1.925875,33.9338125495824
gjxl_butteraugli_low_medium_p1_device,5,Occupancy Manager Target,15.729545,69.70610701282138
gjxl_butteraugli_convolve_transpose_f32,5,Occupancy Manager Target,9.670374,98.66209733689011
gjxl_butteraugli_subsample2x_f32,5,Occupancy Manager Target,2.510083,96.5819266090496
gjxl_butteraugli_frequency_high_convolve_f32,5,Occupancy Manager Target,9.845999,99.46054471497514
gjxl_butteraugli_frequency_suppress_x_f32,5,Occupancy Manager Target,4.082791,95.62192936814353
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,5,Occupancy Manager Target,12.272249,78.32410715731184
gjxl_butteraugli_fuzzy_erosion_f32,5,Occupancy Manager Target,1.030249,100.0
gjxl_convolve_symmetric5_f32,5,Occupancy Manager Target,2.9835,100.0
gjxl_aq_initial_cfl,5,Occupancy Manager Target,4.532375,99.79174904649211
gjxl_aq_initial_quant_gradient,5,Occupancy Manager Target,1.95925,42.66413903699561
gjxl_aq_initial_quant_modulation,5,Occupancy Manager Target,1.103041,27.09565600268611
gjxl_aq_validate_initial_mask,5,Occupancy Manager Target,1.881417,69.83525694122119
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,5,Occupancy Manager Target,3.520834,100.0
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,5,Occupancy Manager Target,3.679291,100.0
gjxl_ac_strategy_dct32x16_candidate_loss_local,5,Occupancy Manager Target,8.398917,100.0
gjxl_ac_strategy_dct32_candidate_loss_local,5,Occupancy Manager Target,31.607784,100.0
gjxl_dct32_forward_simdgroup_2d_matmul_image,5,Occupancy Manager Target,3.889417,94.79159012397105
gjxl_aq_final_cfl,5,Occupancy Manager Target,2.502625,35.57574769933952
gjxl_aq_dc_quantize_simd_wave,5,Occupancy Manager Target,2.990876,99.9397738090269
gjxl_dct32_inverse_simdgroup_2d_matmul_image,5,Occupancy Manager Target,7.533458,70.61253063913384
gjxl_aq_gaborish_f32,5,Occupancy Manager Target,13.45346,99.98217958749514
gjxl_aq_epf_pass1_tile32x4_p2,5,Occupancy Manager Target,4.482374,100.0
gjxl_aq_epf_pass2_linear_tile32x4_p2,5,Occupancy Manager Target,11.198084,72.65120293777964
gjxl_butteraugli_malta_fixed_f32,5,Occupancy Manager Target,2.549708,100.0
gjxl_butteraugli_final_l2_masked_ac_f32,5,Occupancy Manager Target,9.075249,99.93332457186037
gjxl_butteraugli_resident_l2_reduce_w64_simd,5,Occupancy Manager Target,4.076207,99.99289599989918
gjxl_ac_strategy_dct16_candidate_loss_parallel,5,Occupancy Manager Target,7.254378,100.0
all ordinary GPU active,6,L1 Eviction Rate,662.110066,8.073325055176486
gjxl_aq_resident_input_transform,6,L1 Eviction Rate,6.374792,0.0
gjxl_aq_resident_input_statistics,6,L1 Eviction Rate,1.925875,0.0
gjxl_butteraugli_low_medium_p1_device,6,L1 Eviction Rate,15.729545,7.899223422721102
gjxl_butteraugli_convolve_transpose_f32,6,L1 Eviction Rate,9.670374,0.0
gjxl_butteraugli_subsample2x_f32,6,L1 Eviction Rate,2.510083,0.00479397777065228
gjxl_butteraugli_frequency_high_convolve_f32,6,L1 Eviction Rate,9.845999,0.0
gjxl_butteraugli_frequency_suppress_x_f32,6,L1 Eviction Rate,4.082791,0.0
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,6,L1 Eviction Rate,12.272249,0.0
gjxl_butteraugli_fuzzy_erosion_f32,6,L1 Eviction Rate,1.030249,0.006616839741662508
gjxl_convolve_symmetric5_f32,6,L1 Eviction Rate,2.9835,0.23605469301842916
gjxl_aq_initial_cfl,6,L1 Eviction Rate,4.532375,7.628182547673508e-07
