round,image,effort,batch,mode,in_flight,trim_after_each_image,peak_backing_bytes,peak_cpu_slots,first_encode_ms,Pageouts,Swapouts,Swapins,Compressions
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,base,1,0,335714860,8,90.424542,0,0,0,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,release,1,0,335714860,8,89.833333,0,0,0,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,joined,1,0,264071144,8,82.45625,0,0,12,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,base,4,0,1043885816,8,79.56475,0,0,0,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,release,4,0,1047513436,8,80.684708,0,0,0,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,joined,4,0,974241306,8,81.117666,0,0,4,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,1,base,1,0,846978368,8,147.107708,0,0,0,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,1,release,1,0,846978368,8,125.647583,0,0,0,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,1,joined,1,0,776703320,8,132.526167,0,0,36,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,4,base,4,0,3125795420,8,130.424292,0,0,12,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,4,release,4,0,3125795420,8,143.388709,0,0,0,0
0,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,4,joined,4,0,3055520372,8,142.264958,0,0,0,0
0,unsplash/alpine_lake/24mp,1,1,base,1,0,2307390570,8,193.990458,0,0,0,0
0,unsplash/alpine_lake/24mp,1,1,release,1,0,2307390570,8,182.321375,0,0,32,0
0,unsplash/alpine_lake/24mp,1,1,joined,1,0,1927892776,8,176.12725,0,0,8,0
0,unsplash/alpine_lake/24mp,1,4,base,4,0,7835891328,8,199.99525,0,0,52,0
0,unsplash/alpine_lake/24mp,1,4,release,4,0,7835903172,8,172.334667,0,0,0,0
0,unsplash/alpine_lake/24mp,1,4,joined,4,0,7433991406,8,161.739708,0,0,28,0
0,unsplash/alpine_lake/24mp,7,1,base,1,0,6286904034,8,524.769,0,0,48,0
0,unsplash/alpine_lake/24mp,7,1,release,1,0,6286904034,8,504.81475,0,0,8,0
0,unsplash/alpine_lake/24mp,7,1,joined,1,0,6013252252,8,496.778291,0,0,0,0
0,unsplash/alpine_lake/24mp,7,4,base,2,0,12190474246,8,533.755708,0,0,708,0
0,unsplash/alpine_lake/24mp,7,4,release,2,0,12209432016,8,513.548875,0,0,44,0
0,unsplash/alpine_lake/24mp,7,4,joined,2,0,11829602840,8,512.869292,0,0,176,0
0,unsplash/forest_stream/48mp,1,1,base,1,0,4577727597,8,356.595083,0,0,8,0
0,unsplash/forest_stream/48mp,1,1,release,1,0,4577727597,8,299.393167,0,0,64,0
0,unsplash/forest_stream/48mp,1,1,joined,1,0,3855347763,8,287.7885,0,0,8,0
0,unsplash/forest_stream/48mp,1,4,base,2,0,7380221106,8,346.476791,0,0,56,0
0,unsplash/forest_stream/48mp,1,4,release,2,0,8277297262,8,310.917917,0,0,4,0
0,unsplash/forest_stream/48mp,1,4,joined,1,0,3877520637,8,284.721333,0,0,72,0
0,unsplash/forest_stream/48mp,7,1,base,1,0,11867943259,8,1040.567583,0,0,24,0
0,unsplash/forest_stream/48mp,7,1,release,1,0,11867943259,8,1016.845833,0,0,36,0
0,unsplash/forest_stream/48mp,7,1,joined,1,1,12031680037,8,980.427917,0,0,64,0
0,unsplash/forest_stream/48mp,7,4,base,1,1,11885481532,8,1046.712125,0,0,288,0
0,unsplash/forest_stream/48mp,7,4,release,1,1,11885481532,8,1001.571625,0,0,124,0
0,unsplash/forest_stream/48mp,7,4,joined,1,1,12031684165,8,994.251959,0,0,296,0
1,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,joined,1,0,264167616,8,80.13675,0,0,0,0
1,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,release,1,0,335714860,8,81.785709,0,0,0,0
1,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,base,1,0,335714860,8,81.256459,0,0,0,0
1,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,joined,4,0,974232287,8,81.636416,0,0,32,0
