image,effort,mode,group,milliseconds
kodak/01,1,base,frontend.initial_quantization,0.521021
kodak/01,1,base,frontend.quant_adjustment,0.008333
kodak/01,1,base,aq.policy_bounds,0.014354
kodak/01,1,base,aq.final_frame,1.1360000000000001
kodak/01,1,cpu,frontend.initial_quantization,0.519583
kodak/01,1,cpu,frontend.quant_adjustment,0.008375
kodak/01,1,cpu,aq.policy_bounds,0.014333
kodak/01,1,cpu,aq.final_frame,1.1412915
kodak/01,1,release,frontend.initial_quantization,0.3054165
kodak/01,1,release,frontend.quant_adjustment,0.0054164999999999994
kodak/01,1,release,aq.policy_bounds,0.0091455
kodak/01,1,release,aq.final_frame,0.6726665000000001
kodak/01,1,joined1,frontend.initial_quantization,0.3485625
kodak/01,1,joined1,frontend.quant_adjustment,0.006
kodak/01,1,joined1,aq.policy_bounds,0.0104165
kodak/01,1,joined1,aq.final_frame,0.7661035
kodak/01,7,base,frontend.prepare_aq.reference,0.6898960000000001
kodak/01,7,base,frontend.initial_quantization,0.46845800000000004
kodak/01,7,base,frontend.ac_strategy,1.180771
kodak/01,7,base,frontend.ac_strategy.select,0.3601255
kodak/01,7,base,frontend.ac_strategy.metadata,0.2508125
kodak/01,7,base,aq.strategy_dispatch,0.0033955
kodak/01,7,base,frontend.quant_adjustment,0.0335
kodak/01,7,base,aq.policy_bounds,0.007209
kodak/01,7,base,aq.reconstruction,2.9058745000000004
kodak/01,7,base,aq.policy_initialize,0.0030415
kodak/01,7,base,aq.gaborish,0.073292
kodak/01,7,base,aq.epf.pass_1,0.141292
kodak/01,7,base,aq.epf_linear.pass_2,0.0742925
kodak/01,7,base,butteraugli.psycho.sub,0.360811
kodak/01,7,base,butteraugli.malta.sub,0.1687705
kodak/01,7,base,butteraugli.mask_final.sub,0.057332999999999995
kodak/01,7,base,butteraugli.psycho.main,0.84073
kodak/01,7,base,butteraugli.malta.main,0.5016255000000001
kodak/01,7,base,butteraugli.mask.main,0.0671245
kodak/01,7,base,butteraugli.resident_reduction,0.185687
kodak/01,7,base,aq.policy_update,0.010208499999999999
kodak/01,7,base,aq.final_frame,1.1529165000000001
kodak/01,7,cpu,frontend.prepare_aq.reference,0.6837500000000001
kodak/01,7,cpu,frontend.initial_quantization,0.468375
kodak/01,7,cpu,frontend.ac_strategy,1.1825204999999999
kodak/01,7,cpu,frontend.ac_strategy.select,0.360458
kodak/01,7,cpu,frontend.ac_strategy.metadata,0.252208
kodak/01,7,cpu,aq.strategy_dispatch,0.0035
